.123	application/vnd.lotus-1-2-3
.dll	application/x-msdownload
.dmg	application/octet-stream
.dms	application/octet-stream
.dna	application/vnd.dna
.dng	image/x-adobe-dng
.doc	application/msword
.docm	application/vnd.ms-word.document.macroenabled.12
.docx	application/vnd.openxmlformats-officedocument.wordprocessingml.document
.dot	application/msword
.dotm	application/vnd.ms-word.template.macroenabled.12
.dotx	application/vnd.openxmlformats-officedocument.wordprocessingml.template
.dp	application/commonground
#.dp	application/vnd.osgi.dp
.dpg	application/vnd.dpgraph
.drw	application/drafting
.dsc	text/prs.lines.tag
.dtb	application/x-dtbook+xml
.dtd	application/xml-dtd
.dts	audio/vnd.dts
.dtshd	audio/vnd.dts.hd
.dump	application/octet-stream
.dv	video/x-dv
.dvi	application/x-dvi
.dwf	model/vnd.dwf
#.dwf	drawing/x-dwf
#.dwg	application/acad
.dwg	image/vnd.dwg
#.dwg	image/x-dwg
#.dxf	application/dxf
.dxf	image/vnd.dwg
#.dxf	image/vnd.dxf
#.dxf	image/x-dwg
.dxp	application/vnd.spotfire.dxp
.dxr	application/x-director
.ecelp4800	audio/vnd.nuera.ecelp4800
.ecelp7470	audio/vnd.nuera.ecelp7470
.ecelp9600	audio/vnd.nuera.ecelp9600
.ecma	application/ecmascript
.edm	application/vnd.novadigm.edm
.edx	application/vnd.novadigm.edx
.efif	application/vnd.picsel
.ei6	application/vnd.pg.osasli
.el	text/x-script.elisp
.elc	application/x-bytecode.elisp (compiled elisp)
#.elc	application/octet-stream
#.elc	application/x-elc
.eml	message/rfc822
.emma	application/emma+xml
.env	application/x-envoy
.eol	audio/vnd.digital-winds
.eot	application/vnd.ms-fontobject
.eps	application/postscript
.epub	application/epub+zip
.erf	image/x-epson-erf
.es	application/x-esrehber
.es3	application/vnd.eszigno3+xml
.esf	application/vnd.epson.esf
.et3	application/vnd.eszigno3+xml
.etx	text/x-setext
.evy	application/envoy
#.evy	application/x-envoy
.exe	application/x-msdownload
#.exe	application/octet-stream
.ext	application/vnd.novadigm.ext
.ez	application/andrew-inset
.ez2	application/vnd.ezpix-album
.ez3	application/vnd.ezpix-package
.f	text/plain
#.f	text/x-fortran
.f4v	video/x-f4v
.f77	text/x-fortran
.f90	text/plain
#.f90	text/x-fortran
.fbs	image/vnd.fastbidsheet
.fdf	application/vnd.fdf
.fe_launch	application/vnd.denovo.fcselayout-link
.fg5	application/vnd.fujitsu.oasysgp
.fgd	application/x-director
.fh	image/x-freehand
.fh4	image/x-freehand
.fh5	image/x-freehand
.fh7	image/x-freehand
.fhc	image/x-freehand
#.fif	application/fractals
.fif	image/fif
.fig	application/x-xfig
.flac	audio/flac
.fli	video/fli
#.fli	video/x-fli
#.flo	application/vnd.micrografx.flo
.flo	image/florian
.flv	video/x-flv
.flw	application/vnd.kde.kivio
.flx	text/vnd.fmi.flexstor
.fly	text/vnd.fly
.fm	application/vnd.framemaker
.fmf	video/x-atomic3d-feature
.fnc	application/vnd.frogans.fnc
.for	text/plain
#.for	text/x-fortran
.fpx	image/vnd.fpx
#.fpx	image/vnd.net-fpx
.frame	application/vnd.framemaker
.frl	application/freeloader
.fsc	application/vnd.fsc.weblaunch
.fst	image/vnd.fst
.ftc	application/vnd.fluxtime.clip
.fti	application/vnd.anser-web-funds-transfer-initiation
.funk	audio/make
.fvt	video/vnd.fvt
.fzs	application/vnd.fuzzysheet
.g	text/plain
.g3	image/g3fax
.gac	application/vnd.groove-account
.gbr	application/vnd.gerber
.gcode	gcode
.gdl	model/vnd.gdl
.geo	application/vnd.dynageo
.gex	application/vnd.geometry-explorer
.ggb	application/vnd.geogebra.file
.ggt	application/vnd.geogebra.tool
.ghf	application/vnd.groove-help
.gif	image/gif
.gim	application/vnd.groove-identity-message
.gl	video/gl
#.gl	video/x-gl
.gmx	application/vnd.gmx
.gnumeric	application/x-gnumeric
.gph	application/vnd.flographit
.gqf	application/vnd.grafeq
.gqs	application/vnd.grafeq
.gram	application/srgs
.gre	application/vnd.geometry-explorer
.groovy	text/x-groovy
.grv	application/vnd.groove-injector
.grxml	application/srgs+xml
.gsd	audio/x-gsm
.gsf	application/x-font-ghostscript
.gsm	audio/x-gsm
.gsp	application/x-gsp
.gss	application/x-gss
.gtar	application/x-gtar
.gtm	application/vnd.groove-tool-message
.gtw	model/vnd.gtw
.gv	text/vnd.graphviz
.gz	application/gzip
#.gz	application/x-compressed
#.gz	application/x-gzip
.gzip	application/x-gzip
#.gzip	multipart/x-gzip
.h	text/plain
#.h	text/x-c
#.h	text/x-h
.h261	video/h261
.h263	video/h263
.h264	video/h264
.hbci	application/vnd.hbci
.hdf	application/x-hdf
.heic	image/heic
.heif	image/heic
.help	application/x-helpfile
.hgl	application/vnd.hp-hpgl
.hh	text/plain
#.hh	text/x-c
#.hh	text/x-h
.hlb	text/x-script
.hlp	application/hlp
#.hlp	application/winhlp
#.hlp	application/x-helpfile
#.hlp	application/x-winhelp
.hpg	application/vnd.hp-hpgl
.hpgl	application/vnd.hp-hpgl
.hpid	application/vnd.hp-hpid
.hps	application/vnd.hp-hps
.hqx	application/binhex
#.hqx	application/binhex4
#.hqx	application/mac-binhex
#.hqx	application/mac-binhex40
#.hqx	application/x-binhex40
#.hqx	application/x-mac-binhex40
.hta	application/hta
.htc	text/x-component
.htke	application/vnd.kenameaapp
.htm	text/html
.html	text/html
.htmls	text/html
.htt	text/webviewhtml
.htx	text/html
.hvd	application/vnd.yamaha.hv-dic
.hvp	application/vnd.yamaha.hv-voice
.hvs	application/vnd.yamaha.hv-script
.icc	application/vnd.iccprofile
.ice	x-conference/x-cooltalk
.icm	application/vnd.iccprofile
.icns	image/x-icns
.ico	image/x-icon
.ics	image/x-ics
#.ics	text/calendar
.idc	text/plain
.ids	image/x-ics
.ief	image/ief
.iefs	image/ief
.ifb	text/calendar
.ifm	application/vnd.shana.informed.formdata
.iges	application/iges
#.iges	model/iges
.igl	application/vnd.igloader
.igs	application/iges
#.igs	model/iges
.igx	application/vnd.micrografx.igx
.iif	application/vnd.shana.informed.interchange
.ijm	text/x-imagej-macro
.ima	application/x-ima
.imap	application/x-httpd-imap
.imp	application/vnd.accpac.simply.imp
.ims	application/vnd.ms-ims
.in	text/plain
.inc	text/x-pascal
.inf	application/inf
.ins	application/x-internett-signup
.ip	application/x-ip2
.ipk	application/vnd.shana.informed.package
.irm	application/vnd.ibm.rights-management
.irp	application/vnd.irepository.package+xml
.iso	application/x-iso9660-image
.isoimg	application/x-iso9660-image
.isu	video/x-isvideo
.it	audio/it
.itp	application/vnd.shana.informed.formtemplate
.iv	application/x-inventor
.ivp	application/vnd.immervision-ivp
.ivr	i-world/i-vrml
.ivu	application/vnd.immervision-ivu
.ivy	application/x-livescreen
.jad	text/vnd.sun.j2me.app-descriptor
.jam	application/vnd.jam
#.jam	audio/x-jam
.jar	application/java-archive
#.java	text/plain
.java	text/x-java-source
#.jav	text/plain
.jav	text/x-java-source
.jcm	application/x-java-commerce
.jfif	image/jpeg
#.jfif	image/pjpeg
.jfif-tbnl	image/jpeg
#.jfif-tbnl	image/pjpeg
.jfi	image/pjpeg
.jif	image/jpeg
#.jif	image/pjpeg
.jisp	application/vnd.jisp
.jlt	application/vnd.hp-jlyt
.jnlp	application/x-java-jnlp-file
.joda	application/vnd.joost.joda-archive
.jpeg	image/jpeg
#.jpeg	image/pjpeg
.jpe	image/jpeg
#.jpe	image/pjpeg
.jpg	image/jpeg
#.jpg	image/pjpeg
.jpgm	video/jpm
.jpgv	video/jpeg
.jpm	video/jpm
.jps	image/x-jps
#.js	application/ecmascript
#.js	application/javascript
#.js	application/x-javascript
#.js	text/ecmascript
.js	text/javascript
.json	application/json
.jut	image/jutvision
.k25	image/x-kodak-k25
.kar	audio/midi
#.kar	music/x-karaoke
.karbon	application/vnd.kde.karbon
.kdc	image/x-kodak-kdc
.kfo	application/vnd.kde.kformula
.kia	application/vnd.kidspiration
.kil	application/x-killustrator
.kml	application/vnd.google-earth.kml+xml
.kmz	application/vnd.google-earth.kmz
.kne	application/vnd.kinar
.knp	application/vnd.kinar
.kon	application/vnd.kde.kontour
.kpr	application/vnd.kde.kpresenter
.kpt	application/vnd.kde.kpresenter
.kra	application/x-krita
.krz	application/x-krita
.ksh	text/plain
#.ksh	application/x-ksh
#.ksh	text/x-script.ksh
.ksp	application/vnd.kde.kspread
.kt	text/x-kotlin
.ktr	application/vnd.kahootz
.ktz	application/vnd.kahootz
.kwd	application/vnd.kde.kword
.kwt	application/vnd.kde.kword
.la	audio/nspaudio
#.la	audio/x-nspaudio
.lam	audio/x-liveaudio
.latex	application/x-latex
.lbd	application/vnd.llamagraphics.life-balance.desktop
.lbe	application/vnd.llamagraphics.life-balance.exchange+xml
.les	application/vnd.hhe.lesson-player
.lha	application/lha
#.lha	application/octet-stream
#.lha	application/x-lha
.lhx	application/octet-stream
.link66	application/vnd.route66.link66+xml
.list3820	application/vnd.ibm.modcap
.listafp	application/vnd.ibm.modcap
.list	text/plain
.lma	audio/nspaudio
#.lma	audio/x-nspaudio
.log	text/plain
.lostxml	application/lost+xml
.lrf	application/octet-stream
.lrm	application/vnd.ms-lrm
.lsp	application/x-lisp
#.lsp	text/x-script.lisp
.lst	text/plain
.lsx	text/x-la-asf
.ltf	application/vnd.frogans.ltf
.ltx	application/x-latex
.lvp	audio/vnd.lucent.voice
.lwp	application/vnd.lotus-wordpro
.lzh	application/x-lzh
#.lzh	application/octet-stream
.lzx	application/lzx
#.lzx	application/octet-stream
#.lzx	application/x-lzx
#.m	text/plain
#.m	text/x-m
.m	text/x-matlab
.m13	application/x-msmediaview
.m14	application/x-msmediaview
.m1v	video/mpeg
.m2a	audio/mpeg
.m2v	video/mpeg
.m3a	audio/mpeg
.m3u	audio/x-mpegurl
#.m3u	audio/x-mpequrl
.m4a	audio/aac
#.m4a	audio/mp4
.m4b	audio/mp4
.m4p	audio/mp4
.m4r	audio/mp4
.m4u	video/vnd.mpegurl
#.m4v	audio/mp4
.m4v	video/mp4
#.m4v	video/x-m4v
.ma	application/mathematica
.mag	application/vnd.ecowin.chart
.maker	application/vnd.framemaker
.man	text/troff
#.man	application/x-troff-man
.map	application/x-navimap
.markdn	text/markdown
.markdown	text/markdown
.mar	text/plain
.mathml	application/mathml+xml
#.mathml	text/mathml
.mb	application/mathematica
.mbd	application/mbedlet
.mbk	application/vnd.mobius.mbk
.mbox	application/mbox
.mc$	application/x-magic-cap-package-1.0
.mc1	application/vnd.medcalcdata
.mcd	application/mcad
#.mcd	application/vnd.mcd
#.mcd	application/x-mathcad
.mcf	image/vasa
#.mcf	text/mcf
.mcp	application/netmc
.mcurl	text/vnd.curl.mcurl
.md	text/markdown
.mdb	application/x-msaccess
.mdi	image/vnd.ms-modi
.mdown	text/markdown
.me	text/troff
#.me	application/x-troff-me
.mesh	model/mesh
.mfm	application/vnd.mfmp
.mgz	application/vnd.proteus.magazine
.mht	message/rfc822
.mhtml	message/rfc822
.mid	audio/midi
#.mid	application/x-midi
#.mid	audio/x-mid
#.mid	audio/x-midi
#.mid	music/crescendo
#.mid	x-music/x-midi
.midi	audio/midi
#.midi	application/x-midi
#.midi	audio/x-mid
#.midi	audio/x-midi
#.midi	music/crescendo
#.midi	x-music/x-midi
.mif	application/vnd.mif
#.mif	application/x-frame
#.mif	application/x-mif
.mime	message/rfc822
#.mime	www/mime
.mj2	video/mj2
.mjf	audio/x-vnd.audioexplosion.mjuicemediafile
.mjp2	video/mj2
.mjpg	video/x-motion-jpeg
.mka	audio/x-matroska
.mkv	video/x-matroska
.mlp	application/vnd.dolby.mlp
.mm	application/base64
#.mm	application/x-meme
.mmd	application/vnd.chipnuts.karaoke-mmd
.mme	application/base64
.mmf	application/vnd.smaf
.mml	application/mathml+xml
#.mml	text/mathml
.mmr	image/vnd.fujixerox.edmics-mmr
.mny	application/x-msmoney
.mobi	application/x-mobipocket-ebook
.mod	audio/mod
#.mod	audio/x-mod
.moov	video/quicktime
.movie	video/x-sgi-movie
.mov	video/quicktime
.mp2a	audio/mpeg
.mp2	audio/mpeg
#.mp2	audio/x-mpeg
#.mp2	video/mpeg
#.mp2	video/x-mpeg
#.mp2	video/x-mpeq2a
.mp3	audio/mpeg
#.mp3	audio/mpeg3
#.mp3	audio/x-mpeg-3
#.mp3	video/mpeg
#.mp3	video/x-mpeg
#.mp4	audio/mp4
.mp4	video/mp4
.mp4s	application/mp4
#.mp4v	audio/mp4
.mp4v	video/mp4
#.mpa	audio/mpeg
.mpa	video/mpeg
.mpc	application/vnd.mophun.certificate
#.mpc	application/x-project
.mpeg	video/mpeg
.mpe	video/mpeg
.mpg4	video/mp4
.mpga	audio/mpeg
#.mpg	audio/mpeg
.mpg	video/mpeg
.mpkg	application/vnd.apple.installer+xml
.mpm	application/vnd.blueice.multipass
.mpn	application/vnd.mophun.application
.mpp	application/vnd.ms-project
.mpt	application/vnd.ms-project
#.mpt	application/x-project
.mpv	application/x-project
.mpx	application/x-project
.mpy	application/vnd.ibm.minipay
.mqy	application/vnd.mobius.mqy
.mrc	application/marc
.mrw	image/x-minolta-mrw
#.ms	application/x-troff-ms
.ms	text/troff
.mscml	application/mediaservercontrol+xml
.mseed	application/vnd.fdsn.mseed
.mseq	application/vnd.mseq
.msf	application/vnd.epson.msf
.msh	model/mesh
.msi	application/x-msdownload
.msl	application/vnd.mobius.msl
.msty	application/vnd.muvee.style
.mts	model/vnd.mts
.mus	application/vnd.musician
.musicxml	application/vnd.recordare.musicxml+xml
.mv	video/x-sgi-movie
.mvb	application/x-msmediaview
.mwf	application/vnd.mfer
.mxf	application/mxf
.mxl	application/vnd.recordare.musicxml
.mxml	application/xv+xml
.mxs	application/vnd.triscape.mxs
.mxu	video/vnd.mpegurl
.my	audio/make
.mzz	application/x-vnd.audioexplosion.mzz
.nap	image/naplps
.naplps	image/naplps
.nb	application/mathematica
.nc	application/x-netcdf
.ncm	application/vnd.nokia.configuration-message
.ncx	application/x-dtbncx+xml
.nef	image/x-nikon-nef
.n-gage	application/vnd.nokia.n-gage.symbian.install
.ngdat	application/vnd.nokia.n-gage.data
.niff	image/x-niff
.nif	image/x-niff
.nix	application/x-mix-transfer
.nlu	application/vnd.neurolanguage.nlu
.nml	application/vnd.enliven
.nnd	application/vnd.noblenet-directory
.nns	application/vnd.noblenet-sealer
.nnw	application/vnd.noblenet-web
.npx	image/vnd.net-fpx
.nsc	application/x-conference
.nsf	application/vnd.lotus-notes
.nvd	application/x-navidoc
.nws	message/rfc822
.o	application/octet-stream
.oa2	application/vnd.fujitsu.oasys2
.oa3	application/vnd.fujitsu.oasys3
.oas	application/vnd.fujitsu.oasys
.obd	application/x-msbinder
#.obj	application/octet-stream
.obj	model/obj
.oda	application/oda
.odb	application/vnd.oasis.opendocument.database
.odc	application/vnd.oasis.opendocument.chart
.odf	application/vnd.oasis.opendocument.formula
.odft	application/vnd.oasis.opendocument.formula-template
.odg	application/vnd.oasis.opendocument.graphics
.odi	application/vnd.oasis.opendocument.image
.odp	application/vnd.oasis.opendocument.presentation
.ods	application/vnd.oasis.opendocument.spreadsheet
.odt	application/vnd.oasis.opendocument.text
.oga	audio/ogg
.ogg	audio/ogg
#.ogg	video/ogg
.ogv	video/ogg
.ogx	application/ogg
.omc	application/x-omc
.omcd	application/x-omcdatamaker
.omcr	application/x-omcregerator
.onepkg	application/onenote
.onetmp	application/onenote
.onetoc2	application/onenote
.onetoc	application/onenote
.opf	application/oebps-package+xml
.oprc	application/vnd.palm
.opus	audio/opus
.orf	image/x-olympus-orf
.org	application/vnd.lotus-organizer
.osf	application/vnd.yamaha.openscoreformat
.osfpvg	application/vnd.yamaha.openscoreformat.osfpvg+xml
.otc	application/vnd.oasis.opendocument.chart-template
.otf	font/otf
#.otf	application/x-font-otf
.otg	application/vnd.oasis.opendocument.graphics-template
.oth	application/vnd.oasis.opendocument.text-web
.oti	application/vnd.oasis.opendocument.image-template
.otm	application/vnd.oasis.opendocument.text-master
.otp	application/vnd.oasis.opendocument.presentation-template
.ots	application/vnd.oasis.opendocument.spreadsheet-template
.ott	application/vnd.oasis.opendocument.text-template
.oxt	application/vnd.openofficeorg.extension
.p	text/plain
#.p	text/x-pascal
.p10	application/pkcs10
#.p10	application/x-pkcs10
.p12	application/pkcs-12
#.p12	application/x-pkcs12
.p7a	application/x-pkcs7-signature
.p7b	application/x-pkcs7-certificates
.p7c	application/pkcs7-mime
#.p7c	application/x-pkcs7-mime
.p7m	application/pkcs7-mime
#.p7m	application/x-pkcs7-mime
.p7r	application/x-pkcs7-certreqresp
.p7s	application/pkcs7-signature
.part	application/pro_eng
.pas	text/pascal
#.pas	text/x-pascal
.pbd	application/vnd.powerbuilder6
.pbm	image/x-portable-bitmap
.pcf	application/x-font-pcf
.pcl	application/vnd.hp-pcl
#.pcl	application/x-pcl
.pclxl	application/vnd.hp-pclxl
.pct	image/x-pict
.pcurl	application/vnd.curl.pcurl
.pcx	image/x-pcx
.pdb	application/vnd.palm
#.pdb	chemical/x-pdb
.pdf	application/pdf
.pef	image/x-pentax-pef
.pfa	application/x-font-type1
.pfb	application/x-font-type1
.pfm	application/x-font-type1
.pfr	application/font-tdpfr
.pfunk	audio/make
#.pfunk	audio/make.my.funk
.pfx	application/x-pkcs12
.pgm	image/x-portable-graymap
#.pgm	image/x-portable-greymap
.pgn	application/x-chess-pgn
.pgp	application/pgp-encrypted
.pic	image/pict
#.pic	image/x-pict
.pict	image/pict
.pjpg	image/jpeg
#.pjpg	image/pjpeg
.pkg	application/x-newton-compatible-pkg
#.pkg	application/octet-stream
.pki	application/pkixcmp
.pkipath	application/pkix-pkipath
.pko	application/vnd.ms-pki.pko
.pl	text/plain
#.pl	application/x-perl
#.pl	text/x-script.perl
.plb	application/vnd.3gpp.pic-bw-large
.plc	application/vnd.mobius.plc
.plf	application/vnd.pocketlearn
.pls	application/pls+xml
.plx	application/x-pixclscript
.ply	model/ply
#.pm	application/x-perl
.pm	image/x-xpixmap
#.pm	text/x-script.perl-module
.pm4	application/x-pagemaker
.pm5	application/x-pagemaker
.pml	application/vnd.ctc-posml
.png	image/png
#.pnm	application/x-portable-anymap
.pnm	image/x-portable-anymap
.portpkg	application/vnd.macports.portpkg
.pot	application/mspowerpoint
#.pot	application/vnd.ms-powerpoint
.potm	application/vnd.ms-powerpoint.template.macroenabled.12
.potx	application/vnd.openxmlformats-officedocument.presentationml.template
.pov	model/x-pov
.pp	text/x-pascal
.ppa	application/vnd.ms-powerpoint
.ppam	application/vnd.ms-powerpoint.addin.macroenabled.12
.ppd	application/vnd.cups-ppd
.ppm	image/x-portable-pixmap
.pps	application/mspowerpoint
#.pps	application/vnd.ms-powerpoint
.ppsm	application/vnd.ms-powerpoint.slideshow.macroenabled.12
.ppsx	application/vnd.openxmlformats-officedocument.presentationml.slideshow
.ppt	application/mspowerpoint
#.ppt	application/powerpoint
#.ppt	application/vnd.ms-powerpoint
#.ppt	application/x-mspowerpoint
.pptm	application/vnd.ms-powerpoint.presentation.macroenabled.12
.pptx	application/vnd.openxmlformats-officedocument.presentationml.presentation
.ppz	application/mspowerpoint
.pqa	application/vnd.palm
.prc	application/x-mobipocket-ebook
.pre	application/vnd.lotus-freelance
#.pre	application/x-freelance
.prf	application/pics-rules
.prql	application/prql
.prt	application/pro_eng
.ps	application/postscript
.psb	application/vnd.3gpp.pic-bw-small
#.psd	application/octet-stream
.psd	image/vnd.adobe.photoshop
.psf	application/x-font-linux-psf
.ptid	application/vnd.pvi.ptid1
.ptx	image/x-pentax-pef
.pub	application/x-mspublisher
.pvb	application/vnd.3gpp.pic-bw-var
.pvu	paleovu/x-pv
.pwn	application/vnd.3m.post-it-notes
.pwz	application/vnd.ms-powerpoint
.py	text/x-python
#.py	text/x-script.phyton
.pya	audio/vnd.ms-playready.media.pya
.pyc	application/x-bytecode.python
#.pyc	text/x-python
.pyd	text/x-python
.pyo	text/x-python
.pyv	video/vnd.ms-playready.media.pyv
.qam	application/vnd.epson.quickanime
.qbo	application/vnd.intu.qbo
.qcp	audio/vnd.qcelp
.qd3d	x-world/x-3dmf
.qd3	x-world/x-3dmf
.qfx	application/vnd.intu.qfx
.qif	image/x-quicktime
.qps	application/vnd.publishare-delta-tree
.qt	video/quicktime
.qtc	video/x-qtc
.qti	image/x-quicktime
.qtif	image/x-quicktime
.qwd	application/vnd.quark.quarkxpress
.qwt	application/vnd.quark.quarkxpress
.qxb	application/vnd.quark.quarkxpress
.qxd	application/vnd.quark.quarkxpress
.qxl	application/vnd.quark.quarkxpress
.qxt	application/vnd.quark.quarkxpress
#.r	application/x-r
#.r	text/x-r
.r	text/x-r-source
.ra	audio/x-pn-realaudio
#.ra	audio/x-pn-realaudio-plugin
#.ra	audio/x-realaudio
.raf	image/x-fuji-raf
.ram	audio/x-pn-realaudio
.rar	application/vnd.rar
#.rar	application/x-rar-compressed
#.ras	application/x-cmu-raster
.ras	image/cmu-raster
#.ras	image/x-cmu-raster
.rast	image/cmu-raster
.raw	image/x-panasonic-raw
.rb	text/x-ruby
.rcprofile	application/vnd.ipunplugged.rcprofile
.rdf	application/rdf+xml
.rdz	application/vnd.data-vision.rdz
.rep	application/vnd.businessobjects
.res	application/x-dtbresource+xml
.rexx	text/x-script.rexx
.rf	image/vnd.rn-realflash
.rgb	image/x-rgb
.rif	application/reginfo+xml
.rl	application/resource-lists+xml
.rlc	image/vnd.fujixerox.edmics-rlc
.rld	application/resource-lists-diff+xml
